Cluster,Customer_Count,Avg_Total_Spend,Avg_Reliability,Avg_Active_Months,Avg_Inactive_Months,Customer_Segment
<<<<<<< HEAD
0,961,748.812809573361,86.4862330905307,2.704474505723205,0.7960457856399584,low risk Customers
1,2260,101.1246592920354,7.332415929203539,0.20663716814159291,1.6243362831858408,High Risk Customers
2,3,32630.846666666665,91.66666666666667,1.6666666666666667,0.3333333333333333,low risk Customers
3,811,419.33812577065356,10.293588162762022,0.8224414303329223,5.81750924784217,High Risk Customers
=======
0,635,490.3193543307086,12.70187401574803,1.0267716535433071,6.324409448818898,At Risk
1,2221,89.03298964430437,2.9676992345790185,0.10040522287257991,1.8289058982440343,Likely to Exit
2,1176,662.5331632653061,79.44643707482993,2.432823129251701,0.9124149659863946,Likely to Stay
3,3,32630.846666666665,91.66666666666667,1.6666666666666667,0.3333333333333333,High-Value Loyal
>>>>>>> 452001c0a3ef096dfe451d408c05644ce250f8cf
